name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Washington,DC,USA",2022-08-01,88.6,72.8,79.1,91.2,72.8,80.6,67.2,68.2,0,0,0,,0,0,17.2,10.9,264.4,1014.7,79.3,9.8,71.5,6.2,9,30,2022-08-01T06:09:11,2022-08-01T20:19:16,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-02,91.7,74.7,83.3,94.2,74.7,84.8,68,62.9,0.47,100,8.33,rain,0,0,51.7,13.4,283.7,1012,56.1,9.9,78,6.7,9,30,2022-08-02T06:10:04,2022-08-02T20:18:14,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-03,91,74.3,82.9,93.5,74.3,83.9,64.5,55.1,0,0,0,,0,0,13.4,12,245.8,1015.9,24.3,9.9,96.1,8.5,9,30,2022-08-03T06:10:57,2022-08-03T20:17:11,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,F7022,74594013705"
"Washington,DC,USA",2022-08-04,94,74.7,82.4,104.4,74.7,85.7,71.5,71,0.57,100,20.83,rain,0,0,51,24.7,195.5,1017.9,40.2,9.2,78,6.6,9,60,2022-08-04T06:11:50,2022-08-04T20:16:06,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"C6294,KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,74594013705"
"Washington,DC,USA",2022-08-05,90.9,73.6,79.1,99.5,73.6,81.1,70.9,77.2,0.14,100,16.67,rain,0,0,20.8,13.1,176.1,1021.2,76.6,9.8,64.1,5.4,8,100,2022-08-05T06:12:44,2022-08-05T20:15:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,F0198,KADW,KDAA,F7022,74594013705"
"Washington,DC,USA",2022-08-06,87.9,73.6,80.3,95.8,73.6,83.5,70.7,73.5,0,0,0,,0,0,25.3,16.2,191.7,1023,82.2,9.9,69.1,5.9,10,60,2022-08-06T06:13:37,2022-08-06T20:13:53,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,F7022,74594013705"
"Washington,DC,USA",2022-08-07,89.1,75.5,82.2,97.7,75.5,86.2,71.7,71.4,0,0,0,,0,0,17.2,15.7,181.7,1021.8,67.4,9.9,82.7,7.3,9,60,2022-08-07T06:14:31,2022-08-07T20:12:44,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,F7022,74594013705"
"Washington,DC,USA",2022-08-08,91.9,77.8,83.4,103.7,77.8,89.4,74.3,74.7,0,0,0,,0,0,26.4,14.7,178.7,1017.2,41.4,9.9,71.8,6.2,9,100,2022-08-08T06:15:25,2022-08-08T20:11:34,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,F7022,74594013705"
"Washington,DC,USA",2022-08-09,95.7,76.6,85.9,105.3,76.6,92,72.8,66.4,0,0,0,,0,0,26.6,13.3,210.6,1015.2,46.8,9.9,63.9,5.6,9,60,2022-08-09T06:16:19,2022-08-09T20:10:23,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,F7022,74594013705"
"Washington,DC,USA",2022-08-10,90.9,73.8,81.3,102.2,73.8,84.8,72.5,75.8,0.54,100,20.83,rain,0,0,41.4,11.2,337.2,1017,77.6,9.2,71.3,6.2,8,60,2022-08-10T06:17:13,2022-08-10T20:09:10,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,F7022,74594013705"
"Washington,DC,USA",2022-08-11,86.9,73,79.3,86.9,73,79.6,66.3,67.5,0,0,0,,0,0,24.2,14.3,300.2,1014.6,76.4,9.9,84,7.2,8,10,2022-08-11T06:18:08,2022-08-11T20:07:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,AS365,F7022,74594013705"
"Washington,DC,USA",2022-08-12,83.7,70.3,77.2,83,70.3,77.1,57.3,51.6,0,0,0,,0,0,25.1,16.1,347.1,1016.4,58.9,9.9,44.7,3.9,4,10,2022-08-12T06:19:02,2022-08-12T20:06:42,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,F0198,KADW,KDAA,F7022,74594013705"
